"arm","family","shape","sd","tail_probability","V","CL","residual","log_likelihood","likelihood_mcse","runtime_seconds","selection_seconds","selected_families","replicate"
"Lognormal fit","lognormal",NA,3.58322530145674,0.12639,20.3350946532584,3.6748714452279,0.121305826515132,27.3308604099914,0.539231677473055,23.77,0,"lognormal/lognormal",1
"Free-margin fit","gamma",2.46168615018562,2.86308380251281,0.11494,20.4689739371027,3.61943839365803,0.121451616772549,30.7025237984124,0.553087772329117,49.07,63.33,"lognormal/gamma",1
"Lognormal fit","lognormal",NA,3.31563621500451,0.11648,20.4226271220569,3.66045889580975,0.123496281495238,-47.4829255129988,0.505116922571783,24.04,0,"lognormal/lognormal",2
"Free-margin fit","gamma",3.00552920578906,2.50586916292964,0.08606,20.4676711623873,3.65080124799381,0.123386380250808,-38.8847124832701,0.541708682199316,48.63,62.92,"lognormal/gamma",2
"Lognormal fit","lognormal",NA,3.45415502815414,0.11052,19.81980500375,3.4521364221723,0.117976900274135,-61.2744824976747,0.504936861986117,24.03,0,"lognormal/lognormal",3
"Free-margin fit","gamma",2.60956919196264,2.57325446345096,0.08265,20.1058495254263,3.38840170263113,0.11827417368031,-55.814180295122,0.526431137301806,48.47,61.44,"lognormal/gamma",3
"Lognormal fit","lognormal",NA,2.93218525250188,0.08582,20.0279140996401,3.27724414991305,0.117945476657975,-165.3936442512,0.491893653911968,24.09,0,"lognormal/lognormal",4
"Free-margin fit","gamma",2.6830147342933,2.47886638482777,0.07378,20.1302216571539,3.33884044278284,0.117973735713741,-163.134712160177,0.513849122354276,48.31,59.68,"lognormal/gamma",4
"Lognormal fit","lognormal",NA,3.26582886491545,0.10089,19.9863050913573,3.33664905141651,0.119424634559231,-123.420319032676,0.503856015666866,24.16,0,"lognormal/lognormal",5
"Free-margin fit","gamma",2.13596477939317,3.0468706517365,0.12055,20.2014619123331,3.44436893006913,0.119286855930651,-121.945994009257,0.513400741467326,51.21,59.41,"lognormal/gamma",5
"Lognormal fit","lognormal",NA,3.62067083628895,0.13022,19.6641237877713,3.70011384658079,0.121154260951684,40.0916801355785,0.508228909198621,22.23,0,"lognormal/lognormal",6
"Free-margin fit","weibull",1.73674669012551,2.79879290366068,0.1286,19.917474498385,3.78595083553598,0.121236244075311,49.6751609326322,0.54827156182784,39.77,58.8,"lognormal/weibull",6
"Lognormal fit","lognormal",NA,3.54626962232657,0.12655,19.8561446179078,3.65819608427827,0.122697498564802,19.395107491682,0.522253075129558,22.51,0,"lognormal/lognormal",7
"Free-margin fit","gamma",2.58105174616402,2.84442885563789,0.11784,20.0207703083847,3.7242585783502,0.122721837348492,25.9642090999395,0.553784105534846,51.49,60.28,"lognormal/gamma",7
"Lognormal fit","lognormal",NA,3.58601206303677,0.1316,19.9908131264397,3.77863317744943,0.118307262678084,118.243856236213,0.57640429980408,22.2,0,"lognormal/lognormal",8
"Free-margin fit","weibull",1.78357626133975,2.80109170564584,0.13685,20.1068026747272,3.93843736390352,0.11806755185794,128.176933999406,0.571653547096867,40.1,58.73,"lognormal/weibull",8
"Lognormal fit","lognormal",NA,3.52306562655833,0.12081,19.6256681415308,3.61008320186,0.118760851665261,58.3246139087128,0.541457357857488,22.18,0,"lognormal/lognormal",9
"Free-margin fit","weibull",1.74057869330507,2.6658835334638,0.10664,19.7328153129614,3.61470335548257,0.118692153021321,68.9261965998711,0.558816841409868,39.77,58.58,"lognormal/weibull",9
"Lognormal fit","lognormal",NA,3.15346680978068,0.09658,20.1162056205479,3.35213060516149,0.123786696000078,-176.339286569833,0.471805370680717,22.25,0,"lognormal/lognormal",10
"Free-margin fit","gamma",2.69978374644992,2.4468024457361,0.07135,20.3032671161576,3.30025881886058,0.123546109257619,-168.587126155995,0.523615304940289,51.42,57.25,"lognormal/gamma",10
