"replicate","arm","all_quantile_log_rmse","extreme_quantile_log_rmse"
1,"Lognormal fit",0.895175367130933,1.39363755071937
2,"Lognormal fit",0.726420069169078,1.13772545863379
3,"Lognormal fit",0.696329933413801,1.09305948966183
4,"Lognormal fit",0.502649192874065,0.763426064864819
5,"Lognormal fit",0.639557055035209,0.998557637896132
6,"Lognormal fit",0.934080363912838,1.444341977613
7,"Lognormal fit",0.988292573941083,1.5340938589308
8,"Lognormal fit",1.1049097933763,1.7092426585797
9,"Lognormal fit",1.12842541639309,1.75076619149305
10,"Lognormal fit",0.560255791920366,0.871943530946106
11,"Lognormal fit",0.409442836209012,0.629015439172958
12,"Lognormal fit",0.827049528954874,1.26931428325486
13,"Lognormal fit",0.659410331559657,1.03432595954722
14,"Lognormal fit",0.377578720483756,0.578926012652487
15,"Lognormal fit",0.552362423331384,0.857532464857462
16,"Lognormal fit",0.671129857680039,1.05085247577381
17,"Lognormal fit",0.977968208097308,1.52015267240369
18,"Lognormal fit",0.614348214114342,0.960847039475909
19,"Lognormal fit",0.793706124360279,1.24274461579685
20,"Lognormal fit",0.601044096909791,0.937709995491916
21,"Lognormal fit",0.411580232805803,0.64056569316839
22,"Lognormal fit",0.324658470923839,0.481300678179415
23,"Lognormal fit",1.0757139910727,1.67230287709504
24,"Lognormal fit",0.689797124958643,1.08342502246107
25,"Lognormal fit",0.696817037077641,1.07586347511002
26,"Lognormal fit",0.740263857880852,1.15175086201003
27,"Lognormal fit",0.817075775746044,1.27610645518096
28,"Lognormal fit",0.360364095398262,0.492204263425526
29,"Lognormal fit",0.800715290953807,1.25552118112382
30,"Lognormal fit",0.775321113142385,1.21495072685492
31,"Lognormal fit",0.774376278857938,1.21437423011713
32,"Lognormal fit",0.846308078411382,1.32516146054005
33,"Lognormal fit",0.250222226394725,0.139618671599883
34,"Lognormal fit",1.00334548499041,1.55025476203273
35,"Lognormal fit",0.983576043601865,1.51945745291349
36,"Lognormal fit",0.38020920794477,0.529533675275701
37,"Lognormal fit",0.658560920497511,1.03115386233308
38,"Lognormal fit",0.745944427662988,1.1679062087055
39,"Lognormal fit",1.08535308330228,1.68002173406358
40,"Lognormal fit",0.591363186152044,0.922412547866238
41,"Lognormal fit",0.436234003992064,0.678164709229019
42,"Lognormal fit",0.871132074651273,1.36176181579954
43,"Lognormal fit",0.636347331648953,0.997205991716534
44,"Lognormal fit",0.61033759412361,0.953844223563709
45,"Lognormal fit",0.607668889426431,0.935718556031717
46,"Lognormal fit",1.0692394106584,1.67538214976997
47,"Lognormal fit",0.586906550435725,0.913384834157591
48,"Lognormal fit",1.08327677040501,1.68483738074785
49,"Lognormal fit",0.612158732459658,0.96064582491432
50,"Lognormal fit",0.89139235928073,1.3733396105718
51,"Lognormal fit",0.561485234542146,0.881004705369061
52,"Lognormal fit",0.413315620802845,0.625786427910111
53,"Lognormal fit",0.378732304805861,0.568785986884358
54,"Lognormal fit",0.594883710009456,0.928402145890814
55,"Lognormal fit",0.7334669503912,1.13891789147961
56,"Lognormal fit",0.75770210579947,1.18733965581302
57,"Lognormal fit",0.645742164569993,1.01335906138206
58,"Lognormal fit",0.612608659260439,0.95846849300477
59,"Lognormal fit",0.849100401935182,1.32831862699573
60,"Lognormal fit",0.490155124475094,0.768335971589671
61,"Lognormal fit",0.372880485780871,0.531004614785908
62,"Lognormal fit",0.64311575105492,1.00745808582103
63,"Lognormal fit",0.44354936027939,0.6926586552043
64,"Lognormal fit",0.218776581621544,0.277862373201808
65,"Lognormal fit",0.588273003093183,0.916269690142604
66,"Lognormal fit",0.813125729268328,1.27386051045514
67,"Lognormal fit",0.952014099927712,1.49279600710513
68,"Lognormal fit",1.04408161591488,1.62808413915963
69,"Lognormal fit",0.839111545764733,1.31481350984876
70,"Lognormal fit",0.981468838794878,1.53115259557392
71,"Lognormal fit",0.673535062539034,1.05285911817165
72,"Lognormal fit",0.797958974848193,1.25172352515178
73,"Lognormal fit",1.06384784872108,1.65736658332274
74,"Lognormal fit",1.0566484345272,1.64527932191772
75,"Lognormal fit",0.895147399032812,1.40249777641085
76,"Lognormal fit",0.421241014053282,0.621776255401565
77,"Lognormal fit",1.01995802926287,1.59528624841783
78,"Lognormal fit",0.649437400250363,1.01154727808479
79,"Lognormal fit",0.471317953047153,0.738122356780695
80,"Lognormal fit",0.682841206610716,1.06607677720099
81,"Lognormal fit",0.734831303988353,1.15178077237507
82,"Lognormal fit",0.740383833290278,1.16208122396685
83,"Lognormal fit",0.926441351041063,1.44643428791773
84,"Lognormal fit",0.644006583065869,1.00956200779553
85,"Lognormal fit",0.588546656323278,0.923865243973682
86,"Lognormal fit",0.299900133482355,0.404106443887523
87,"Lognormal fit",0.623551220825563,0.977887935429648
88,"Lognormal fit",0.603731114585473,0.93628766622876
89,"Lognormal fit",0.969849524724368,1.51816959612086
90,"Lognormal fit",0.685066017862976,1.07579894920677
91,"Lognormal fit",0.820476635028456,1.28766878462371
92,"Lognormal fit",0.958301994211172,1.49552142427151
93,"Lognormal fit",0.905369760270614,1.41447801359451
94,"Lognormal fit",0.791011124100651,1.24085686928818
95,"Lognormal fit",0.945849965904425,1.48070896861842
96,"Lognormal fit",0.680201052684041,1.06589935233638
97,"Lognormal fit",0.894805962740268,1.40156124017337
98,"Lognormal fit",0.499522322109532,0.737954974218548
99,"Lognormal fit",0.778339106106667,1.21750771776802
100,"Lognormal fit",0.573415427254782,0.894359489890548
101,"Lognormal fit",0.371552202251072,0.569227880096179
