"arm","probability","time","lower","median","upper"
"Free-margin fit",0.01,0.1,2.50167174436088,2.66854512704105,2.75112407107738
"Generating model",0.01,0.1,2.67241266287476,2.68292918567875,2.69744519821765
"Lognormal fit",0.01,0.1,2.57109972563975,2.70994612738843,2.80720703057227
"Free-margin fit",0.1,0.1,3.35371036874049,3.5004075013691,3.58448498970056
"Generating model",0.1,0.1,3.51365306583728,3.51652095498429,3.5263480120516
"Lognormal fit",0.1,0.1,3.41362747112664,3.5560858102071,3.63268298224118
"Free-margin fit",0.5,0.1,4.75383652952822,4.83541894702415,4.91588206390948
"Generating model",0.5,0.1,4.86384069188839,4.86911708351523,4.87811619316708
"Lognormal fit",0.5,0.1,4.76545675862966,4.87503274116753,4.95885756156514
"Free-margin fit",0.9,0.1,6.4508639934452,6.67006888493961,6.80743983638591
"Generating model",0.9,0.1,6.68583521070266,6.69848566174765,6.71513511056701
"Lognormal fit",0.9,0.1,6.50021822626999,6.70127660849442,6.83357008548756
"Free-margin fit",0.99,0.1,8.18348168006593,8.6134920640289,9.0377903829686
"Generating model",0.99,0.1,8.65451675901015,8.6852540540406,8.71207542295203
"Lognormal fit",0.99,0.1,8.25011590921891,8.65544123973703,8.97018822292312
"Free-margin fit",0.01,0.5,2.2669205089942,2.42859697344628,2.5262910446928
"Generating model",0.01,0.5,2.41704607390739,2.4319470837852,2.43370814638992
"Lognormal fit",0.01,0.5,2.26902217312648,2.38350323842403,2.45912617903098
"Free-margin fit",0.1,0.5,3.05750881642598,3.18903201327719,3.26453932322405
"Generating model",0.1,0.5,3.19129569040799,3.19751917098124,3.20748624385603
"Lognormal fit",0.1,0.5,3.07967466245504,3.20344949005258,3.25727756977417
"Free-margin fit",0.5,0.5,4.35726751057356,4.43308266706546,4.49003191393891
"Generating model",0.5,0.5,4.46239137877593,4.46922820918283,4.47740453041573
"Lognormal fit",0.5,0.5,4.37410111626883,4.49122382245008,4.53649415234307
"Free-margin fit",0.9,0.5,6.00041248511941,6.17030714812185,6.33183122250459
"Generating model",0.9,0.5,6.20272048362921,6.22181311286087,6.22993194986819
"Lognormal fit",0.9,0.5,6.06392143873016,6.22885130694826,6.36901022266458
"Free-margin fit",0.99,0.5,7.67861321913346,7.99345788390352,8.50296408374012
"Generating model",0.99,0.5,8.09637993833622,8.13104164693519,8.17793201217023
"Lognormal fit",0.99,0.5,7.76369861968555,8.05735237393898,8.39494806865885
"Free-margin fit",0.01,1,1.92300287899909,2.07264767226988,2.17933934884843
"Generating model",0.01,1,2.06068462385972,2.06790746712364,2.0810472090249
"Lognormal fit",0.01,1,1.77771702029395,1.83604030023022,1.98343678047073
"Free-margin fit",0.1,1,2.66875360484144,2.76667300264474,2.87952486893857
"Generating model",0.1,1,2.78605256628151,2.79623566608195,2.80264011229687
"Lognormal fit",0.1,1,2.66416495812588,2.74878869501997,2.84169070675899
"Free-margin fit",0.5,1,3.89843611942102,3.97790665839348,4.0427531180243
"Generating model",0.5,1,4.02241721391624,4.02405574833852,4.03219979074096
"Lognormal fit",0.5,1,3.95371697600007,4.08155250183966,4.09993024509446
"Free-margin fit",0.9,1,5.53923431354924,5.68981165149146,5.87611148251544
"Generating model",0.9,1,5.74034596058589,5.74967194097512,5.76564540865241
"Lognormal fit",0.9,1,5.61028683399766,5.75130092293146,5.90554503180085
"Free-margin fit",0.99,1,7.24684751717231,7.57876178731442,8.06890326781599
"Generating model",0.99,1,7.6204880764368,7.65445892031221,7.68241963507777
"Lognormal fit",0.99,1,7.24842009632186,7.53719489844937,7.87602713544445
"Free-margin fit",0.01,2,1.19445844117835,1.36122266751626,1.43682908830692
"Generating model",0.01,2,1.28370941373661,1.30434493976391,1.31619621511769
"Lognormal fit",0.01,2,0.860285720621907,0.915409221503212,1.09909933020387
"Free-margin fit",0.1,2,1.93964523973489,2.0130964061211,2.17154997209535
"Generating model",0.1,2,2.04262703082847,2.04786668934069,2.05355636802557
"Lognormal fit",0.1,2,1.89585358836254,1.96088788865135,2.11746927538285
"Free-margin fit",0.5,2,3.12031399479308,3.23238813335242,3.35577959527598
"Generating model",0.5,2,3.29536311290713,3.30442834740354,3.31127342007699
"Lognormal fit",0.5,2,3.27160965446183,3.36873135677122,3.43569258980173
"Free-margin fit",0.9,2,4.82331697398109,5.00223591936265,5.19681973145819
"Generating model",0.9,2,5.04577121001637,5.05439282773071,5.06822409710538
"Lognormal fit",0.9,2,4.89626911319413,5.0244916337366,5.19610557860324
"Free-margin fit",0.99,2,6.60644914499579,6.87134516499254,7.3836658103482
"Generating model",0.99,2,6.94459932469007,6.96750794606725,7.00202705013862
"Lognormal fit",0.99,2,6.53916174688208,6.74666229153214,7.0535407456298
"Free-margin fit",0.01,4,0.361039032988455,0.457343566568583,0.520349973334824
"Generating model",0.01,4,0.408616283424691,0.415987134111167,0.428508074490135
"Lognormal fit",0.01,4,0.164174233545662,0.204154571832085,0.279499824447201
"Free-margin fit",0.1,4,0.902872460239279,0.968180960907823,1.14887036380029
"Generating model",0.1,4,1.01150662536487,1.01512838656245,1.02073721882591
"Lognormal fit",0.1,4,0.852859561851294,0.91216219874718,1.07846936533754
"Free-margin fit",0.5,4,2.0157946053046,2.19831930824369,2.36863569099331
"Generating model",0.5,4,2.2606895422689,2.26819296231838,2.2728008443467
"Lognormal fit",0.5,4,2.26683510609824,2.33350726704748,2.47485957987135
"Free-margin fit",0.9,4,3.87875102808131,4.06667700236431,4.27455237289868
"Generating model",0.9,4,4.11349014461503,4.12109624034709,4.12808753590262
"Lognormal fit",0.9,4,3.91679091579621,4.05481475982721,4.20151980455312
"Free-margin fit",0.99,4,5.72497627764516,6.06991010477386,6.53416396981986
"Generating model",0.99,4,6.07689959006435,6.10712078089287,6.14664654003689
"Lognormal fit",0.99,4,5.53611932786838,5.70362259813895,5.99185017217286
"Free-margin fit",0.01,8,0.0286393386041692,0.0445509657822714,0.0593061404098467
"Generating model",0.01,8,0.0354910899503112,0.037307993774139,0.0393589874217607
"Lognormal fit",0.01,8,0.00560794652694531,0.00928094874880465,0.0162390775685173
"Free-margin fit",0.1,8,0.180010677906863,0.20771501809185,0.295148218857827
"Generating model",0.1,8,0.227484414914823,0.228988430538189,0.231599111717444
"Lognormal fit",0.1,8,0.159307882102644,0.187690235745012,0.254855507686025
"Free-margin fit",0.5,8,0.850421678618616,1.04012854454044,1.18999831198178
"Generating model",0.5,8,1.07444152621005,1.07962557848261,1.08578651598595
"Lognormal fit",0.5,8,1.08185620653475,1.14198822976646,1.29916782056797
