"generating_family","replicate","candidate","incumbent_sd","direct_sd","posterior_sd","direct_loglik","posterior_loglik","posterior_minus_direct","posterior_mcse","median_ess_fraction","minimum_ess_fraction"
"normal",1,"normal",0.403342057227646,0.403345471251163,0.403911959931073,-67.3521626556637,-67.3520594716254,0.000103184038366066,0.000308500717571209,0.999998980790494,0.999992162460831
"normal",1,"laplace",0.403342057227646,0.424450682349034,0.424707375916763,-69.4084686012921,-69.3761152680758,0.032353333216335,0.0642963377149408,0.932925824148918,0.765318450336554
"normal",2,"normal",0.531970509670375,0.531969719178188,0.531287036320193,-88.7546539602891,-88.7545434838041,0.000110476485090771,0.000233291899405253,0.999999491362363,0.99999349416227
"normal",2,"laplace",0.531970509670375,0.571348358771834,0.570898072190951,-91.7684269151582,-91.7700573903322,-0.00163047517396819,0.0553752103703623,0.95097639000752,0.711855215731224
"normal",3,"normal",0.482020261568878,0.482018242339327,0.481998746707364,-80.8283302493117,-80.8283301353822,1.13929516487588e-07,8.66266360648774e-06,0.999999999278777,0.999999990424639
"normal",3,"laplace",0.482020261568878,0.509002922938419,0.509385516412088,-82.5342012377696,-82.6054677059344,-0.0712664681647652,0.0600377210888218,0.943916255646727,0.59143606563105
"normal",4,"normal",0.434374828824583,0.4343751082275,0.434538046041731,-72.8148770315252,-72.8148691867472,7.84477799697925e-06,7.8634884678576e-05,0.999999940345864,0.999998654799233
"normal",4,"laplace",0.434374828824583,0.449311953001606,0.448613584206231,-73.5202273992064,-73.4978959469843,0.0223314522220477,0.0705206927360422,0.931455529978244,0.287160440131422
"normal",5,"normal",0.37108145889108,0.3710888774374,0.372367711760898,-61.472294654276,-61.4717337939347,0.000560860341337843,0.000796829347666785,0.999992975035952,0.999926119561694
"normal",5,"laplace",0.37108145889108,0.384545925589881,0.386063198950864,-62.7874217037952,-62.6772594193317,0.11016228446347,0.073993055936564,0.925944216521831,0.492077411615512
"normal",6,"normal",0.411492162457621,0.41148627981297,0.412221010622742,-68.8054007093354,-68.8052308860055,0.000169823329883911,0.000382311440629029,0.999998278237942,0.999979643329808
"normal",6,"laplace",0.411492162457621,0.426435865950323,0.426994174070674,-69.8723425519242,-69.909690667298,-0.0373481153738311,0.0705303949036451,0.931295783969127,0.453757829841321
"normal",7,"normal",0.494186255260557,0.494191193782139,0.49348095576384,-82.8028622902056,-82.8027317065754,0.000130583630209458,0.0002727762517316,0.999999265760724,0.999989588440371
"normal",7,"laplace",0.494186255260557,0.525006445742759,0.523971910301518,-85.0940012753497,-85.0988090298784,-0.00480775452868443,0.0585276082862555,0.943206991178771,0.581943623406825
"normal",8,"normal",0.456881964012964,0.456878716078096,0.455583485176443,-76.6564993904108,-76.6560221145015,0.000477275909332775,0.000573353083997544,0.999996238484187,0.999937944709015
"normal",8,"laplace",0.456881964012964,0.472869069496131,0.470814831169626,-77.4577671055359,-77.444071732062,0.0136953734738796,0.0697703370967748,0.931951042289776,0.329216963747462
"normal",9,"normal",0.392316934694637,0.392317316737946,0.391396330543898,-65.3654226541081,-65.3651448206573,0.000277833450724074,0.000522774082530328,0.999996854829875,0.999970873894254
"normal",9,"laplace",0.392316934694637,0.412744627148372,0.410663664374826,-67.8954934223228,-67.8011006539329,0.0943927683898664,0.0660860779901505,0.931598126117727,0.676025803508888
"normal",10,"normal",0.412391544797212,0.412386260152073,0.413970873884856,-68.9649611970631,-68.9641688598465,0.000792337216580563,0.000823843974379711,0.999990529994524,0.999917329065752
"normal",10,"laplace",0.412391544797212,0.432909989316398,0.433580976245849,-71.2969716656238,-71.3226495366128,-0.0256778709890568,0.0663618537136884,0.931033688989998,0.565120137685093
"normal",11,"normal",0.488426944891952,0.488427924269275,0.488100535453285,-81.8717146257422,-81.8716861306026,2.84951396167799e-05,0.000128515264754242,0.999999811612175,0.999997923406991
"normal",11,"laplace",0.488426944891952,0.523741804034322,0.523005557797056,-85.1269340298345,-85.1439348702091,-0.0170008403745783,0.0579964122099406,0.944072828236906,0.632378831589125
"normal",12,"normal",0.382254638086945,0.382259043587556,0.382035102135272,-63.5314765994613,-63.5314597801375,1.68193237470859e-05,0.000129566684114071,0.99999983468369,0.999998278144231
"normal",12,"laplace",0.382254638086945,0.397906763390035,0.39692223243094,-64.956522769946,-64.9077188623755,0.0488039075705302,0.0723764063738088,0.92908810124701,0.472894780052449
"laplace",1,"normal",0.409099941086448,0.409092292461847,0.409172332448482,-68.3802115396288,-68.3802095125922,2.02703652973923e-06,3.83642383539825e-05,0.999999986681161,0.999999745594849
"laplace",1,"laplace",0.409099941086448,0.413738906319722,0.413554514610512,-67.0353892357566,-66.9551972009704,0.0801920347861795,0.0781326814667159,0.924237394503847,0.41061416838902
"laplace",2,"normal",0.57724691391993,0.577244782130921,0.576912765898159,-95.5406757307945,-95.5406523432706,2.33875239530335e-05,9.9001852160009e-05,0.99999992470443,0.999997790398164
"laplace",2,"laplace",0.57724691391993,0.566889953077714,0.566773127203681,-90.5962347716978,-90.5828448019907,0.0133899697070632,0.0704226121163161,0.935865917954753,0.413219466118962
"laplace",3,"normal",0.463910233126778,0.463906102680044,0.464271585257213,-77.8354464718716,-77.8354089964833,3.74753883107815e-05,0.000155033904128586,0.999999782964973,0.999996069010701
"laplace",3,"laplace",0.463910233126778,0.475690758808172,0.476243123500676,-77.4925679064554,-77.487977936041,0.00458997041440057,0.0734873332014463,0.931886061392324,0.292903480142666
"laplace",4,"normal",0.514278788526709,0.514278464580112,0.513669157632541,-86.0014483549934,-86.0013556389503,9.27160430705953e-05,0.000218538547633258,0.999999677970135,0.999991813259015
"laplace",4,"laplace",0.514278788526709,0.497052892046343,0.496689225447619,-79.6684391103476,-79.8150254850171,-0.146586374669468,0.073407672964141,0.923943113984356,0.543736833479195
"laplace",5,"normal",0.451384841805394,0.451382583925734,0.451849768433764,-75.7275513566075,-75.7274888831148,6.24734927470172e-05,0.000209994673561218,0.999999646165919,0.999988727552159
"laplace",5,"laplace",0.451384841805394,0.447421759912732,0.447340849758956,-72.2507402476764,-72.2193822248402,0.0313580228362724,0.0809482611729495,0.926861714431585,0.265790553828315
"laplace",6,"normal",0.397930215062607,0.397930480148285,0.398041396075308,-66.3799267272968,-66.3799226998126,4.02748416661325e-06,6.13444647363027e-05,0.999999964030411,0.999998868028294
"laplace",6,"laplace",0.397930215062607,0.390113713419591,0.389051035680676,-62.7416022365279,-62.8687085476693,-0.127106311141439,0.0884716422929861,0.919262220756478,0.1455713506908
"laplace",7,"normal",0.415626274312119,0.415622855931816,0.415725535147889,-69.5375080750309,-69.5375046865417,3.38848916214829e-06,5.15159888542507e-05,0.999999976919802,0.999999132006568
"laplace",7,"laplace",0.415626274312119,0.404850159734754,0.404990237455706,-65.79794752735,-65.833580094035,-0.0356325666850665,0.0977598052213969,0.91756336042651,0.113454922370725
"laplace",8,"normal",0.44534406973505,0.445342956732965,0.445209631055771,-74.6997890348584,-74.6997838425131,5.19234528439938e-06,6.16330442436962e-05,0.999999965576156,0.999999195296521
"laplace",8,"laplace",0.44534406973505,0.447559034723344,0.446405209705568,-72.4822027805426,-72.4929936198459,-0.0107908393033256,0.0785460840468478,0.927407948127727,0.228263674253963
"laplace",9,"normal",0.380368659800398,0.380373516092514,0.380036292376475,-63.1855650007552,-63.1855265990579,3.840169723901e-05,0.000198035479768983,0.999999534513864,0.999993661899265
"laplace",9,"laplace",0.380368659800398,0.390099347086051,0.390057753888172,-63.7225720832771,-63.6890859452312,0.0334861380459088,0.0924374305712014,0.927932437368402,0.119849163024085
"laplace",10,"normal",0.448350243730476,0.448348568819332,0.447123718715358,-75.2121620297678,-75.2117262949867,0.000435734781106589,0.000558792107158921,0.999997611524154,0.999941698851231
"laplace",10,"laplace",0.448350243730476,0.454348465556536,0.452497894759308,-73.6012777276194,-73.6132302646333,-0.0119525370139399,0.0720731881246102,0.930376092357338,0.380326640322352
"laplace",11,"normal",0.389402743721616,0.389403191834172,0.38936932546314,-64.8363047418379,-64.8363043646381,3.77199825152275e-07,1.92049345735055e-05,0.999999996821927,0.999999928268872
"laplace",11,"laplace",0.389402743721616,0.38489852585913,0.385301286669734,-61.7019759231507,-61.7091216956713,-0.00714577252060167,0.093612863574448,0.918684509329672,0.199844230992786
"laplace",12,"normal",0.384531787616062,0.384535680753841,0.385426178078515,-63.9482229074609,-63.9479574099745,0.000265497486388711,0.000522589367762366,0.999998079778093,0.999948850359879
"laplace",12,"laplace",0.384531787616062,0.384522988849548,0.385432687297786,-60.7802087320088,-60.8888965221058,-0.108687790096987,0.082005384871479,0.92425220099274,0.255862351440392
