"generating_family","replicate","selected_direct","selected_posterior"
"laplace",1,"laplace","laplace"
"normal",1,"normal","normal"
"laplace",2,"laplace","laplace"
"normal",2,"normal","normal"
"laplace",3,"laplace","laplace"
"normal",3,"normal","normal"
"laplace",4,"laplace","laplace"
"normal",4,"normal","normal"
"laplace",5,"laplace","laplace"
"normal",5,"normal","normal"
"laplace",6,"laplace","laplace"
"normal",6,"normal","normal"
"laplace",7,"laplace","laplace"
"normal",7,"normal","normal"
"laplace",8,"laplace","laplace"
"normal",8,"normal","normal"
"laplace",9,"normal","normal"
"normal",9,"normal","normal"
"laplace",10,"laplace","laplace"
"normal",10,"normal","normal"
"laplace",11,"laplace","laplace"
"normal",11,"normal","normal"
"laplace",12,"laplace","laplace"
"normal",12,"normal","normal"
