"generating_family","replicate","selected_direct","selected_posterior"
"laplace",1,"normal","normal"
"normal",1,"normal","normal"
"laplace",2,"normal","normal"
"normal",2,"laplace","laplace"
"laplace",3,"laplace","laplace"
"normal",3,"normal","normal"
"laplace",4,"laplace","normal"
"normal",4,"laplace","laplace"
"laplace",5,"laplace","laplace"
"normal",5,"normal","normal"
"laplace",6,"normal","normal"
"normal",6,"normal","normal"
"laplace",7,"normal","normal"
"normal",7,"normal","normal"
"laplace",8,"normal","normal"
"normal",8,"laplace","laplace"
"laplace",9,"normal","normal"
"normal",9,"normal","normal"
"laplace",10,"laplace","laplace"
"normal",10,"normal","normal"
"laplace",11,"laplace","normal"
"normal",11,"normal","normal"
"laplace",12,"normal","normal"
"normal",12,"normal","normal"
