"arm","probability","CRP","lower","median","upper"
"flexible",0.01,2.97109480506532,1.80606425075835,1.96249003148274,2.0709365255232
"gaussian",0.01,2.97109480506532,2.24668689674002,2.36896179733,2.48214081116838
"truth",0.01,2.97109480506532,1.91705532321706,1.91705532321706,1.91705532321706
"flexible",0.0162201257861635,3.83822167055874,1.88175813898849,2.03095740409717,2.13718462676108
"gaussian",0.0162201257861635,3.83822167055874,2.26181458087942,2.38195748541385,2.49438328227095
"truth",0.0162201257861635,3.83822167055874,1.98747637715694,1.98747637715694,1.98747637715694
"flexible",0.022440251572327,4.56890077558951,1.93745299129384,2.0805305963485,2.18526834842864
"gaussian",0.022440251572327,4.56890077558951,2.27464088412297,2.39307638002317,2.50469496533574
"truth",0.022440251572327,4.56890077558951,2.03908472155532,2.03908472155532,2.03908472155532
"flexible",0.0286603773584906,5.21846951654933,1.98248223539031,2.12087685896426,2.22391037131139
"gaussian",0.0286603773584906,5.21846951654933,2.28610444212326,2.4031464697539,2.51389780928159
"truth",0.0286603773584906,5.21846951654933,2.08068533928668,2.08068533928668,2.08068533928668
"flexible",0.0348805031446541,5.81293976892968,2.02078579257059,2.15585001117466,2.25662112358238
"gaussian",0.0348805031446541,5.81293976892968,2.29664624958145,2.41239954372063,2.52234970220861
"truth",0.0348805031446541,5.81293976892968,2.1159869953649,2.1159869953649,2.1159869953649
"flexible",0.0411006289308176,6.36700790199195,2.05442392735499,2.18530988046833,2.28523021616518
"gaussian",0.0411006289308176,6.36700790199195,2.30651536640874,2.42105585005231,2.53025278897208
"truth",0.0411006289308176,6.36700790199195,2.14692556392905,2.14692556392905,2.14692556392905
"flexible",0.0473207547169811,6.88993774208713,2.08461865384567,2.21205266682303,2.31092562730805
"gaussian",0.0473207547169811,6.88993774208713,2.31586874452995,2.42925418984362,2.53773446539634
"truth",0.0473207547169811,6.88993774208713,2.17464760680293,2.17464760680293,2.17464760680293
"flexible",0.0535408805031447,7.38801395382243,2.11215836604033,2.23651451961617,2.33363090593622
"gaussian",0.0535408805031447,7.38801395382243,2.32481284617909,2.43708871504786,2.54488114807028
"truth",0.0535408805031447,7.38801395382243,2.19989193367612,2.19989193367612,2.19989193367612
"flexible",0.0597610062893082,7.86573228636115,2.13758337815564,2.25909810429483,2.35434938515213
"gaussian",0.0597610062893082,7.86573228636115,2.33342382889778,2.44462677647278,2.55175465415883
"truth",0.0597610062893082,7.86573228636115,2.22316434015521,2.22316434015521,2.22316434015521
"flexible",0.0659811320754717,8.32644070102006,2.15970924131545,2.28080192349348,2.37360517833229
"gaussian",0.0659811320754717,8.32644070102006,2.34175841510441,2.45191853535492,2.5584010226008
"truth",0.0659811320754717,8.32644070102006,2.24482730846702,2.24482730846702,2.24482730846702
"flexible",0.0722012578616352,8.77271244854428,2.18042143230243,2.30020530869933,2.39242495171781
"gaussian",0.0722012578616352,8.77271244854428,2.34986021542212,2.45900255512319,2.56485564620844
"truth",0.0722012578616352,8.77271244854428,2.26515009130507,2.26515009130507,2.26515009130507
"flexible",0.0784213836477987,9.20657650106066,2.19998818191804,2.31812398195833,2.41043778405474
"gaussian",0.0784213836477987,9.20657650106066,2.35776363323654,2.4656656616336,2.57114644090195
"truth",0.0784213836477987,9.20657650106066,2.28433854518345,2.28433854518345,2.28433854518345
"flexible",0.0846415094339623,9.62966680479462,2.21857206410715,2.3344330418267,2.42759064664833
"gaussian",0.0846415094339623,9.62966680479462,2.36549639304573,2.47195064995906,2.5772958980611
"truth",0.0846415094339623,9.62966680479462,2.30255384027192,2.30255384027192,2.30255384027192
"flexible",0.0908616352201258,10.0433227790829,2.2363029613865,2.34996814092326,2.44395375180563
"gaussian",0.0908616352201258,10.0433227790829,2.373081242488,2.47811101004492,2.58332246621976
"truth",0.0908616352201258,10.0433227790829,2.31992469771575,2.31992469771575,2.31992469771575
"flexible",0.0970817610062893,10.4486592120205,2.25328640879286,2.36572167937752,2.45897239442201
"gaussian",0.0970817610062893,10.4486592120205,2.38053713579196,2.4841623924311,2.58924151184709
"truth",0.0970817610062893,10.4486592120205,2.33655567844641,2.33655567844641,2.33655567844641
"flexible",0.103301886792453,10.8466162218279,2.26960941686314,2.38158630448282,2.47296639153678
"gaussian",0.103301886792453,10.8466162218279,2.38788007951285,2.4901180089584,2.59506600599989
"truth",0.103301886792453,10.8466162218279,2.35253296610994,2.35253296610994,2.35253296610994
"flexible",0.109522012578616,11.2379958186225,2.28534463964159,2.39642448445511,2.48643590365134
"gaussian",0.109522012578616,11.2379958186225,2.39512375131256,2.49602697309673,2.60080702673821
"truth",0.109522012578616,11.2379958186225,2.36792850535789,2.36792850535789,2.36792850535789
"flexible",0.11574213836478,11.6234892118866,2.30055342439715,2.41010564089321,2.49943575300814
"gaussian",0.11574213836478,11.6234892118866,2.40227996202944,2.50231186697533,2.60647413432
"truth",0.11574213836478,11.6234892118866,2.38280302910426,2.38280302910426,2.38280302910426
"flexible",0.121962264150943,12.0036975740855,2.3161996491595,2.42331560821384,2.51201264815026
"gaussian",0.121962264150943,12.0036975740855,2.40935900696154,2.50852611864118,2.61207565645077
"truth",0.121962264150943,12.0036975740855,2.39720831611863,2.39720831611863,2.39720831611863
"flexible",0.128182389937107,12.379148080214,2.33163458670715,2.43612880456635,2.52420673923582
"gaussian",0.128182389937107,12.379148080214,2.4163699371903,2.51489050479307,2.61761890861157
"truth",0.128182389937107,12.379148080214,2.41118890353709,2.41118890353709,2.41118890353709
"flexible",0.13440251572327,12.7503064738463,2.34665572328125,2.44953152264274,2.53656819913122
"gaussian",0.13440251572327,12.7503064738463,2.42332077212592,2.52121962738843,2.62311036666
"truth",0.13440251572327,12.7503064738463,2.42478340572126,2.42478340572126,2.42478340572126
"flexible",0.140622641509434,13.1175870370777,2.36129926139832,2.46316890860015,2.54955879000323
"gaussian",0.140622641509434,13.1175870370777,2.4302186681323,2.52705336189588,2.62855580376581
"truth",0.140622641509434,13.1175870370777,2.43802554382713,2.43802554382713,2.43802554382713
"flexible",0.146842767295598,13.4813605914103,2.37559704076762,2.4769068504241,2.5622286446873
"gaussian",0.146842767295598,13.4813605914103,2.43707005384835,2.53270409453853,2.63396040030054
"truth",0.146842767295598,13.4813605914103,2.45094495942521,2.45094495942521,2.45094495942521
"flexible",0.153062893081761,13.8419609852458,2.38957723226312,2.48888518627262,2.57460325264121
"gaussian",0.153062893081761,13.8419609852458,2.44387767860731,2.53842174596199,2.63932883294405
"truth",0.153062893081761,13.8419609852458,2.46356786462701,2.46356786462701,2.46356786462701
"flexible",0.159283018867925,14.1996904041332,2.4032648982818,2.50088137985636,2.58670578425763
"gaussian",0.159283018867925,14.1996904041332,2.45062676840362,2.54435870212654,2.64466534762726
"truth",0.159283018867925,14.1996904041332,2.47591756683481,2.47591756683481,2.47591756683481
"flexible",0.165503144654088,14.5548237551595,2.41638128996469,2.51287344922409,2.5985569421207
"gaussian",0.165503144654088,14.5548237551595,2.45713801803326,2.55026632801777,2.64997381976562
"truth",0.165503144654088,14.5548237551595,2.48801489621606,2.48801489621606,2.48801489621606
"flexible",0.171723270440252,14.9076123158613,2.42922308534157,2.52463231083553,2.61017531114693
"gaussian",0.171723270440252,14.9076123158613,2.4636185032368,2.55599309036523,2.65525780439895
"truth",0.171723270440252,14.9076123158613,2.49987855689388,2.49987855689388,2.49987855689388
"flexible",0.177943396226415,15.2582867934812,2.44183704994879,2.53617477933108,2.62157764844645
"gaussian",0.177943396226415,15.2582867934812,2.47007710619385,2.56156877214651,2.66072960240601
"truth",0.177943396226415,15.2582867934812,2.51152541772545,2.51152541772545,2.51152541772545
"flexible",0.184163522012579,15.607059907462,2.4541187118191,2.54751608018581,2.6327791250197
"gaussian",0.184163522012579,15.607059907462,2.47651749837574,2.5670629764033,2.66634139117706
"truth",0.184163522012579,15.607059907462,2.52297075480247,2.52297075480247,2.52297075480247
"flexible",0.190383647798742,15.9541285834256,2.4659102776122,2.55870010604909,2.64379352864623
"gaussian",0.190383647798742,15.9541285834256,2.48294309965148,2.57248300217083,2.67193752108338
"truth",0.190383647798742,15.9541285834256,2.53422845504666,2.53422845504666,2.53422845504666
"flexible",0.196603773584906,16.2996758282494,2.4775225013605,2.56894182701649,2.65463343526054
"gaussian",0.196603773584906,16.2996758282494,2.48935710910484,2.57791225857092,2.67752080380612
"truth",0.196603773584906,16.2996758282494,2.54531118820907,2.54531118820907,2.54531118820907
"flexible",0.202823899371069,16.6438723416131,2.4889673434119,2.57928477821209,2.66531035455335
"gaussian",0.202823899371069,16.6438723416131,2.49576253154931,2.58333170053765,2.6832612261531
"truth",0.202823899371069,16.6438723416131,2.55623055302328,2.55623055302328,2.55623055302328
"flexible",0.209044025157233,16.98687790841,2.50025579198844,2.58952863279382,2.67583485434934
"gaussian",0.209044025157233,16.98687790841,2.50216220046827,2.58881481281685,2.68900149386357
"truth",0.209044025157233,16.98687790841,2.56699720207313,2.56699720207313,2.56699720207313
"flexible",0.215264150943396,17.3288426078768,2.5113979733065,2.59963440138409,2.6862166673983
"gaussian",0.215264150943396,17.3288426078768,2.5085587979675,2.5943742774093,2.69473662370349
"truth",0.215264150943396,17.3288426078768,2.57762094902079,2.57762094902079,2.57762094902079
"flexible",0.22148427672956,17.6699078685955,2.52240324661142,2.60991205797991,2.69646478350785
"gaussian",0.22148427672956,17.6699078685955,2.51495487221769,2.59993106141793,2.70046890950373
"truth",0.22148427672956,17.6699078685955,2.58811086112995,2.58811086112995,2.58811086112995
"flexible",0.227704402515723,18.0102073932303,2.5332802865653,2.62019063953142,2.70658752939019
"gaussian",0.227704402515723,18.0102073932303,2.52135285277784,2.60548728150786,2.70620053503068
"truth",0.227704402515723,18.0102073932303,2.59847533946304,2.59847533946304,2.59847533946304
"flexible",0.233924528301887,18.3498679726463,2.54403715497764,2.62965135006541,2.71659263815816
"gaussian",0.233924528301887,18.3498679726463,2.5277550641215,2.61119237639773,2.71193358634249
"truth",0.233924528301887,18.3498679726463,2.60872218869277,2.60872218869277,2.60872218869277
"flexible",0.24014465408805,18.689010205683,2.55468136351156,2.63886788777981,2.7264873100584
"gaussian",0.24014465408805,18.689010205683,2.53416373763259,2.61696117832788,2.71767006274059
"truth",0.24014465408805,18.689010205683,2.61885867812022,2.61885867812022,2.61885867812022
"flexible",0.246364779874214,19.0277491381328,2.56521992871303,2.64798685869113,2.73627826575135
"gaussian",0.246364779874214,19.0277491381328,2.54058102229287,2.62268077175021,2.72341188651983
"truth",0.246364779874214,19.0277491381328,2.62889159521329,2.62889159521329,2.62889159521329
"flexible",0.252584905660377,19.3661948322651,2.57565942048136,2.65768402269575,2.74597179322508
"gaussian",0.252584905660377,19.3661948322651,2.54700899424733,2.62883207890147,2.7291609116878
"truth",0.252584905660377,19.3661948322651,2.6388272927554,2.6388272927554,2.6388272927554
"flexible",0.258805031446541,19.7044528764376,2.58600600491303,2.66750618529049,2.75557378924855
"gaussian",0.258805031446541,19.7044528764376,2.55344966540384,2.63494669184096,2.73491893179661
"truth",0.258805031446541,19.7044528764376,2.64867173051337,2.64867173051337,2.64867173051337
"flexible",0.265025157232704,20.0426248428563,2.5962654823004,2.67649249809547,2.7650897961235
"gaussian",0.265025157232704,20.0426248428563,2.55990499119982,2.64102489731703,2.7406876870085
"truth",0.265025157232704,20.0426248428563,2.65843051218579,2.65843051218579,2.65843051218579
"flexible",0.271245283018868,20.3808087003316,2.60641774491275,2.68540239138365,2.7745250343734
"gaussian",0.271245283018868,20.3808087003316,2.56637687764837,2.64711734364133,2.74646887049832
"truth",0.271245283018868,20.3808087003316,2.66810891827265,2.66810891827265,2.66810891827265
"flexible",0.277465408805031,20.7190991878655,2.61644772718955,2.6942405222336,2.78388443190937
"gaussian",0.277465408805031,20.7190991878655,2.57286718775998,2.65322577733196,2.75226413428093
"truth",0.277465408805031,20.7190991878655,2.67771193540804,2.67771193540804,2.67771193540804
"flexible",0.283685534591195,21.0575881540717,2.62640631859923,2.70301129572001,2.79317265013112
"gaussian",0.283685534591195,21.0575881540717,2.57937774742255,2.65935190843389,2.75807509453889
"truth",0.283685534591195,21.0575881540717,2.68724428261554,2.68724428261554,2.68724428261554
"flexible",0.289905660377358,21.3963648667245,2.63575278215786,2.71171888706166,2.80239410735327
"gaussian",0.289905660377358,21.3963648667245,2.5859103508105,2.66549741564504,2.76390333651547
"truth",0.289905660377358,21.3963648667245,2.69671043487823,2.69671043487823,2.69671043487823
"flexible",0.296125786163522,21.7355162961495,2.64484032075094,2.72032573503744,2.81155299989093
"gaussian",0.296125786163522,21.7355162961495,2.59246676538478,2.67121305359968,2.76975041902926
"truth",0.296125786163522,21.7355162961495,2.70611464435835,2.70611464435835,2.70611464435835
"flexible",0.302345911949686,22.075127375673,2.65387141266077,2.72857422823456,2.82065332109114
"gaussian",0.302345911949686,22.075127375673,2.5990487365371,2.67628863063827,2.77561787865924
"truth",0.302345911949686,22.075127375673,2.71546095955448,2.71546095955448,2.71546095955448
"flexible",0.308566037735849,22.4152812419291,2.66284980027275,2.73702825138474,2.82969887855706
"gaussian",0.308566037735849,22.4152812419291,2.60565799192531,2.68138198902249,2.78150856301404
"truth",0.308566037735849,22.4152812419291,2.7247532426441,2.7247532426441,2.7247532426441
"flexible",0.314786163522013,22.7560594574723,2.67177906024148,2.74591920856065,2.83869330977833
"gaussian",0.314786163522013,22.7560594574723,2.61225826840139,2.68649441833064,2.78746175723765
"truth",0.314786163522013,22.7560594574723,2.73399518522584,2.73399518522584,2.73399518522584
"flexible",0.321006289308176,23.0975422178409,2.68066261739563,2.75476406641729,2.8476400963528
"gaussian",0.321006289308176,23.0975422178409,2.61853095184164,2.69162719721896,2.79344009930126
"truth",0.321006289308176,23.0975422178409,2.74319032264742,2.74319032264742,2.74319032264742
"flexible",0.32722641509434,23.4398085449614,2.68950375742623,2.76287185436023,2.85654257696042
"gaussian",0.32722641509434,23.4398085449614,2.62483316238502,2.69678159623176,2.79944508458171
"truth",0.32722641509434,23.4398085449614,2.75234204708087,2.75234204708087,2.75234204708087
"flexible",0.333446540880503,23.7829364685661,2.6983056384954,2.77092100526229,2.86540395923016
"gaussian",0.333446540880503,23.7829364685661,2.6311664827556,2.70230897968306,2.80547820357754
"truth",0.333446540880503,23.7829364685661,2.76145361948648,2.76145361948648,2.76145361948648
"flexible",0.339666666666667,24.1270031971094,2.70707130188575,2.77893443034795,2.87422733062269
"gaussian",0.339666666666667,24.1270031971094,2.63753249526368,2.70789635574872,2.81154094487512
"truth",0.339666666666667,24.1270031971094,2.7705281805889,2.7705281805889,2.7705281805889
"flexible",0.34588679245283,24.4720852795073,2.71580368179576,2.78763745274923,2.88301566843707
"gaussian",0.34588679245283,24.4720852795073,2.64393278480603,2.71351186005535,2.81763479799731
"truth",0.34588679245283,24.4720852795073,2.77956876097407,2.77956876097407,2.77956876097407
"flexible",0.352106918238994,24.8182587588886,2.72450561437398,2.79645160104066,2.89177184903649
"gaussian",0.352106918238994,24.8182587588886,2.6503689417679,2.71915686124516,2.82376125615356
"truth",0.352106918238994,24.8182587588886,2.78857829040271,2.78857829040271,2.78857829040271
"flexible",0.358327044025157,25.1655993194285,2.73317984607429,2.80523798285253,2.90049865637712
"gaussian",0.358327044025157,25.1655993194285,2.65684256484521,2.72503202418622,2.82992181890907
"truth",0.358327044025157,25.1655993194285,2.79755960642468,2.79755960642468,2.79755960642468
"flexible",0.364547169811321,25.514182427233,2.74182904140468,2.81387369639481,2.90918814351832
"gaussian",0.364547169811321,25.514182427233,2.66335526380329,2.73103168632486,2.83611799478878
"truth",0.364547169811321,25.514182427233,2.80651546236935,2.80651546236935,2.80651546236935
"flexible",0.370767295597484,25.8640834661573,2.7500692528088,2.82228624657908,2.91814983621098
"gaussian",0.370767295597484,25.8640834661573,2.66973931885541,2.73706731678687,2.84235130383114
"truth",0.370767295597484,25.8640834661573,2.81544853477836,2.81544853477836,2.81544853477836
"flexible",0.376987421383648,26.2153778693679,2.75796771158367,2.83067845058676,2.92715935346808
"gaussian",0.376987421383648,26.2153778693679,2.67600838256231,2.74314040106503,2.84862328010533
"truth",0.376987421383648,26.2153778693679,2.82436143034031,2.82436143034031,2.82436143034031
"flexible",0.383207547169811,26.5681412473922,2.76579635839286,2.83905271579797,2.93615044981743
"gaussian",0.383207547169811,26.5681412473922,2.68231860141463,2.74887847579134,2.85493547420493
"truth",0.383207547169811,26.5681412473922,2.83325669238035,2.83325669238035,2.83325669238035
"flexible",0.389427672955975,26.9224495133498,2.77360927337321,2.84741139406893,2.94512564378388
"gaussian",0.389427672955975,26.9224495133498,2.68867156136264,2.75464939166422,2.86128945573024
"truth",0.389427672955975,26.9224495133498,2.84213680695242,2.84213680695242,2.84213680695242
"flexible",0.395647798742138,27.2783790060108,2.78145045411384,2.85575678719387,2.95408740110397
"gaussian",0.395647798742138,27.2783790060108,2.69506887086327,2.76048064842016,2.86768681577107
"truth",0.395647798742138,27.2783790060108,2.8510042085771,2.8510042085771,2.8510042085771
"flexible",0.401867924528302,27.6360066112917,2.79079942071199,2.86431835747996,2.96303814023191
"gaussian",0.401867924528302,27.6360066112917,2.70146756546854,2.76710703141066,2.87412916940125
"truth",0.401867924528302,27.6360066112917,2.85986128566383,2.85986128566383,2.85986128566383
"flexible",0.408088050314465,27.9954098827662,2.80014226977654,2.87251658453874,2.97204666704461
