"replicate","standard_projection","standard_backtrack","standard_no_move","standard_runtime_conditions","flexible_projection","flexible_backtrack","flexible_no_move","flexible_runtime_conditions"
1,0,0,0,TRUE,0,0,0,TRUE
2,0,0,0,TRUE,0,0,0,TRUE
3,0,0,0,TRUE,0,0,0,TRUE
4,0,0,0,TRUE,0,0,0,TRUE
5,0,0,0,TRUE,0,0,0,TRUE
6,0,0,0,TRUE,0,0,0,TRUE
7,0,0,0,TRUE,0,0,0,TRUE
8,0,0,0,TRUE,0,0,0,TRUE
9,0,0,0,TRUE,0,0,0,TRUE
10,0,0,0,TRUE,0,0,0,TRUE
11,0,0,0,TRUE,0,0,0,TRUE
12,0,0,0,TRUE,0,0,0,TRUE
13,0,0,0,TRUE,0,0,0,TRUE
14,0,0,0,TRUE,0,0,0,TRUE
15,0,0,0,TRUE,0,0,0,TRUE
16,0,0,0,TRUE,0,0,0,TRUE
17,0,0,0,TRUE,0,0,0,TRUE
18,0,0,0,TRUE,0,0,0,TRUE
19,0,0,0,TRUE,0,0,0,TRUE
20,0,0,0,TRUE,0,0,0,TRUE
21,0,0,0,TRUE,0,0,0,TRUE
22,0,0,0,TRUE,0,0,0,TRUE
23,0,0,0,TRUE,0,0,0,TRUE
24,0,0,0,TRUE,0,0,0,TRUE
25,0,0,0,TRUE,0,0,0,TRUE
26,0,0,0,TRUE,0,0,0,TRUE
27,0,0,0,TRUE,0,0,0,TRUE
28,0,0,0,TRUE,0,0,0,TRUE
29,0,0,0,TRUE,0,0,0,TRUE
30,0,0,0,TRUE,0,0,0,TRUE
31,0,0,0,TRUE,0,0,0,TRUE
32,0,0,0,TRUE,0,0,0,TRUE
33,0,0,0,TRUE,0,0,0,TRUE
34,0,0,0,TRUE,0,0,0,TRUE
35,0,0,0,TRUE,0,0,0,TRUE
36,0,0,0,TRUE,0,0,0,TRUE
37,0,0,0,TRUE,0,0,0,TRUE
38,0,0,0,TRUE,0,0,0,TRUE
39,0,0,0,TRUE,0,0,0,TRUE
40,0,0,0,TRUE,0,0,0,TRUE
41,0,0,0,TRUE,0,0,0,TRUE
42,0,0,0,TRUE,0,0,0,TRUE
43,0,0,0,TRUE,0,0,0,TRUE
44,0,0,0,TRUE,0,0,0,TRUE
45,0,0,0,TRUE,0,0,0,TRUE
46,0,0,0,TRUE,0,0,0,TRUE
