"replicate","arm","V","CL","residual","runtime_seconds"
1,"gaussian",9.99462337474846,3.05434989044077,0.123158732526836,45.98
1,"flexible",9.99410088044057,3.05476271899902,0.123238157070942,51.88
2,"gaussian",10.2646091144766,3.11216424826918,0.118241336687191,68.91
2,"flexible",10.269613878448,3.11238303577677,0.118234661725161,77.73
3,"gaussian",10.0705806152411,2.96284473202371,0.118980490487454,64.28
3,"flexible",10.0773711429117,2.96215850089426,0.118871929231039,70.62
4,"gaussian",9.81944341731106,3.0101794706072,0.122918542773164,68.03
4,"flexible",9.81477052982881,3.00805057873616,0.122966631559398,67.89
5,"gaussian",9.96415765933517,3.06318070964534,0.118636239229308,68.72
5,"flexible",9.96385279542424,3.06391190941554,0.118673431064377,75.69
6,"gaussian",9.94928812869468,3.0004693321792,0.123215002331392,64.69
6,"flexible",9.94967329058676,2.99972968060576,0.123286374407148,72.14
7,"gaussian",10.1576700573033,2.97117428911193,0.122328715950855,67.99
7,"flexible",10.1522960389485,2.97080507650258,0.12233157338601,70.28
8,"gaussian",10.0456636444041,3.05275206021677,0.117935777703978,70.53
8,"flexible",10.0405320429018,3.05237701415708,0.118011224992202,74.61
9,"gaussian",9.98980819341131,3.03893648634712,0.117724818896849,64
9,"flexible",9.98868258164793,3.03884788776262,0.117743612310499,71.36
10,"gaussian",10.1254873763138,2.98306971652038,0.116745471329954,68.31
10,"flexible",10.1264026409218,2.983239746311,0.116743615694331,67.89
11,"gaussian",9.68179551633493,3.01547798202065,0.116802804285543,69.61
11,"flexible",9.67497085642512,3.0122871752956,0.116655995275517,75.22
12,"gaussian",9.97256690081547,2.94008520229902,0.122507800996881,64.04
12,"flexible",9.97201660576171,2.94239025423299,0.122341543171505,71.4299999999999
13,"gaussian",9.89314076972747,2.9562207144673,0.123458157519626,69.59
13,"flexible",9.8898567011298,2.95450551724662,0.12343533104738,69.88
14,"gaussian",9.77798163470688,3.0293356509134,0.121662637885254,69.61
14,"flexible",9.77876735557145,3.03019035304777,0.121544964737909,74.55
15,"gaussian",10.1775773555139,3.07919499080071,0.118495949013697,65
15,"flexible",10.1803758430554,3.08023962835847,0.118464016739395,73.61
16,"gaussian",10.1918921977929,3.0007429130214,0.12200385397959,67.47
16,"flexible",10.1971536387887,3.00260999705267,0.122018033560814,69.18
17,"gaussian",10.0424813897174,3.04822564770323,0.120543204451249,70.1
17,"flexible",10.0454477396787,3.04840904144796,0.120533862097534,74.03
18,"gaussian",9.98607286463656,2.94908964257661,0.117987345837319,63.8
18,"flexible",9.98571320758021,2.94664787076898,0.11789236585099,70.55
19,"gaussian",10.1213909368716,2.9375214552138,0.116408491169801,67.39
19,"flexible",10.1265935396887,2.93771137910063,0.116430751579895,68.95
20,"gaussian",9.86365431906217,3.10654314242136,0.120030456650618,70.24
20,"flexible",9.86924094044532,3.10833875939285,0.120042825168403,76.87
21,"gaussian",10.1747254985774,3.0526820113905,0.121390188731627,64.78
21,"flexible",10.1694363111551,3.05072824642513,0.121330803309034,74.38
22,"gaussian",9.87843068871468,2.90328467319674,0.121577663829459,67.28
22,"flexible",9.87867084761906,2.9043383482536,0.121464750654666,72.6
23,"gaussian",9.94264026368623,3.05644176980523,0.118299287322663,70.43
23,"flexible",9.94383373555906,3.05674637818479,0.118209417282929,75.54
24,"gaussian",10.0135369643881,3.13025927587917,0.121146132136274,64.4
24,"flexible",10.0172427977589,3.13110177074236,0.121187954472684,70.7
25,"gaussian",10.1556627441682,2.97634964916299,0.118098342477194,68.14
25,"flexible",10.1626514257754,2.97837362327654,0.118066838104455,67.8
26,"gaussian",10.1552470074653,3.14396285152838,0.120460373458375,69.5599999999999
26,"flexible",10.1528143796766,3.143183271842,0.120510038297266,67.61
27,"gaussian",10.1078525978519,3.07514901218842,0.123379406283618,73.23
27,"flexible",10.1078579601546,3.07392453613304,0.123386247697362,69.77
28,"gaussian",9.92029280033925,3.02930581402112,0.118792914817516,61.9
28,"flexible",9.91688216124952,3.02739275395755,0.118795010679908,76.3099999999999
29,"gaussian",9.97942674984633,2.984409112805,0.11748147920993,65.22
29,"flexible",9.98257186646202,2.98424513951275,0.117560539432789,74.7900000000001
30,"gaussian",9.93709300403841,3.03342523455056,0.120298412281662,69.9399999999999
30,"flexible",9.93480057640541,3.03309944214776,0.120423948976841,68.35
31,"gaussian",10.2963853633092,3.03601741635705,0.119139095410127,62.3200000000001
31,"flexible",10.3003529982805,3.03568015498778,0.119149810609229,75.9300000000001
32,"gaussian",10.1232390338108,3.04789479834719,0.122022238955531,66.01
32,"flexible",10.1290720248918,3.04835085412471,0.122029313163149,73.63
33,"gaussian",9.89496808633127,3.06919907729085,0.121125206156804,71.59
33,"flexible",9.88742910654937,3.06797275578214,0.121106701837293,67.83
34,"gaussian",9.84075185835982,2.94956651420061,0.12287562376303,64.8
34,"flexible",9.82868289615045,2.9460909684855,0.122934917641979,77.89
35,"gaussian",10.0951969577116,3.01216213285796,0.118806123406819,65.5400000000001
35,"flexible",10.0932349796937,3.01191704213131,0.118724985678729,77.97
36,"gaussian",9.97132738011291,2.93463399690758,0.118254663763222,73.03
36,"flexible",9.97217445793237,2.93450544964431,0.118120925905153,66.3100000000001
37,"gaussian",10.1109839786654,2.90868393316274,0.121313854614279,64.8200000000001
37,"flexible",10.1030508720583,2.90682529712421,0.121355620104965,78.6999999999999
38,"gaussian",9.86101532783098,2.97710289142648,0.118465676317638,66.4599999999999
38,"flexible",9.86285364201812,2.97893368997997,0.118526546676032,76.74
39,"gaussian",10.0885043336335,2.90255583116738,0.119752245088097,72.0599999999999
39,"flexible",10.084676428401,2.90165902071205,0.119769408571346,67.59
40,"gaussian",9.94662379412867,2.93486619787197,0.118926054321718,64.84
40,"flexible",9.94978410054594,2.93593082992424,0.11911104358511,79.13
41,"gaussian",10.1537810907839,3.00507804314857,0.121764042921637,64.8
41,"flexible",10.1529562099386,3.00540846311865,0.121775654448668,78.0400000000001
42,"gaussian",9.9676946932616,3.07433536767231,0.120651180366879,67.84
42,"flexible",9.96956262490738,3.07458644497408,0.120663645560973,67.48
43,"gaussian",9.86758862831777,3.10309690830217,0.117978255403745,61.4200000000001
43,"flexible",9.86564907499473,3.10052594690355,0.117848537437245,79.48
44,"gaussian",10.1440786833864,3.01697567707866,0.122127142109925,63.0500000000001
44,"flexible",10.1455143741851,3.01372989921033,0.121950495752193,75.8599999999999
45,"gaussian",10.1210636967974,2.97784912934887,0.119832031428178,72.25
45,"flexible",10.1174506385759,2.97688629094438,0.119826501752448,67
46,"gaussian",10.0745581586866,2.99101506991146,0.119545069010772,65.78
46,"flexible",10.0784078798721,2.99094030517526,0.119619168440816,77.73
47,"gaussian",10.1480966091148,3.1401461705039,0.116686364702995,64.86
47,"flexible",10.1504083138486,3.13950778741019,0.116680244884442,75.45
48,"gaussian",10.0093772497103,2.95938010830213,0.122915089346328,63.5599999999999
48,"flexible",10.0097446739521,2.9592426860053,0.122898522042139,77.8100000000001
49,"gaussian",10.0187073322167,2.93588201803609,0.121000496353044,63.8200000000001
49,"flexible",10.0150837629072,2.93569713225373,0.120988665190982,78.14
50,"gaussian",9.98399176371643,3.04609881350497,0.117882050029286,25.4399999999998
50,"flexible",9.99206233614597,3.04601456932648,0.117856165335669,42.6900000000001
