"arm","quantile","time","lower","median","upper"
"flexible","q10",0.25,5.95364157491717,6.22893929134288,6.63172432352414
"gaussian","q10",0.25,5.73341445760161,6.07064547550711,6.5223112134765
"truth","q10",0.25,6.24774377225268,6.24774377225268,6.24774377225268
"flexible","q50",0.25,8.11853135925697,8.48074848588358,8.9205803899271
"gaussian","q50",0.25,7.84118528320572,8.25510459507512,8.77887371804322
"truth","q50",0.25,8.48067086584799,8.48067086584799,8.48067086584799
"flexible","q90",0.25,10.8962408642685,11.5090640392383,11.9780129725827
"gaussian","q90",0.25,10.527312884312,11.1823717620373,11.7716959754447
"truth","q90",0.25,11.464796581399,11.464796581399,11.464796581399
"flexible","q10",0.5,5.35654290717972,5.61689055863122,5.97175522338737
"gaussian","q10",0.5,5.05842453898814,5.37514091486067,5.75813535786518
"truth","q10",0.5,5.62323908157432,5.62323908157432,5.62323908157432
"flexible","q50",0.5,7.28347215602707,7.58909493188524,7.97740763585465
"gaussian","q50",0.5,6.92075068749144,7.28269266816744,7.70333395801078
"truth","q50",0.5,7.58197373655724,7.58197373655724,7.58197373655724
"flexible","q90",0.5,9.67504625138091,10.1744203559675,10.5964647199007
"gaussian","q90",0.5,9.204005189295,9.79128805174539,10.2616875273645
"truth","q90",0.5,10.1462773962201,10.1462773962201,10.1462773962201
"flexible","q10",1,4.26957101261705,4.49602721650986,4.73426859627177
"gaussian","q10",1,3.76783372699399,4.12631430053689,4.3857302013992
"truth","q10",1,4.4643676499867,4.4643676499867,4.4643676499867
"flexible","q50",1,5.80968682483918,6.08446794028622,6.33496780874333
"gaussian","q50",1,5.3475114556557,5.70494562907768,5.98797097151083
"truth","q50",1,6.05096989107465,6.05096989107465,6.05096989107465
"flexible","q90",1,7.75541600014614,8.09232046808178,8.45448148001461
"gaussian","q90",1,7.26442627527556,7.70842745460995,8.0464159652773
"truth","q90",1,8.08004671556735,8.08004671556735,8.08004671556735
"flexible","q10",2,2.33504322097813,2.6299690504142,2.82696251494059
"gaussian","q10",2,1.85504944410563,2.17128507816405,2.39533259629575
"truth","q10",2,2.57899725097421,2.57899725097421,2.57899725097421
"flexible","q50",2,3.72872419030903,3.98904700171566,4.15565080321713
"gaussian","q50",2,3.27099328589613,3.58948784363367,3.79958901464182
"truth","q50",2,3.92836790594524,3.92836790594524,3.92836790594524
"flexible","q90",2,5.30016014389947,5.59469599261225,5.84380711398211
"gaussian","q90",2,4.86501977728587,5.18211784611055,5.47847329574627
"truth","q90",2,5.55451076010246,5.55451076010246,5.55451076010246
"flexible","q10",4,0.586939138031274,0.765644369944904,0.890048860469391
"gaussian","q10",4,0.367994748015991,0.519725618253271,0.65117956114614
"truth","q10",4,0.733966799028824,0.733966799028824,0.733966799028824
"flexible","q50",4,1.50297381610646,1.73907300454837,1.86557210337838
"gaussian","q50",4,1.18985287925746,1.41838992474405,1.61081374290316
"truth","q50",4,1.68813448818037,1.68813448818037,1.68813448818037
"flexible","q90",4,2.7514043508097,3.00612101325396,3.14639282135515
"gaussian","q90",4,2.38820563866118,2.67964671530207,2.9115953333788
"truth","q90",4,2.94369364738675,2.94369364738675,2.94369364738675
"flexible","q10",8,0.0345593674654594,0.0583450334333597,0.080328644350961
"gaussian","q10",8,0.0131732249897517,0.0272110421732286,0.0447191184640689
"truth","q10",8,0.0543969688640314,0.0543969688640314,0.0543969688640314
"flexible","q50",8,0.237425912897273,0.326000472781957,0.373678923565866
"gaussian","q50",8,0.149196551287109,0.221622571141959,0.287694458111413
"truth","q50",8,0.306565548150483,0.306565548150483,0.306565548150483
"flexible","q90",8,0.790353479997541,0.96363877093665,1.074471248968
"gaussian","q90",8,0.618975883053426,0.772672080592623,0.929952790116243
"truth","q90",8,0.926657074380812,0.926657074380812,0.926657074380812
"flexible","q10",12,0.00200630690510924,0.0043168282594922,0.00706972493798046
"gaussian","q10",12,0.000465669841021646,0.00140576142703687,0.00300912185393231
"truth","q10",12,0.00392562031931134,0.00392562031931134,0.00392562031931134
"flexible","q50",12,0.0379945621303151,0.0610936053466466,0.0759724316608754
"gaussian","q50",12,0.0186659926407078,0.0343636014416192,0.0514215864166423
"truth","q50",12,0.0557052827728727,0.0557052827728727,0.0557052827728727
"flexible","q90",12,0.233219910100704,0.320841518823916,0.381810709804978
"gaussian","q90",12,0.163219110442325,0.232242768261694,0.308345223857592
"truth","q90",12,0.301350108447867,0.301350108447867,0.301350108447867
