config                 fixed (true 10,3,2,30)         sd (true .3,.3,.4,.4)      pres(.1)
stock burn=150         9.976,2.915,1.856,28.602       0.305,0.287,0.411,0.335    0.0980
sdFRZ vineFRZ burn=150 9.969,2.91,1.88,28.785         0.3,0.3,0.4,0.4            0.0965
sdfit vineFRZ burn=150 9.96,2.922,1.869,28.266        0.302,0.279,0.413,0.395    0.0970
sdFRZ vinefit burn=150 9.976,2.897,1.873,29.163       0.3,0.3,0.4,0.4            0.0967
sdfit vinefit burn=150 9.998,3,1.766,25.165           0.305,0.268,0.441,0.21     0.1082
stock burn=40          10.072,2.906,1.879,29.836      0.3,0.28,0.395,0.339       0.1091
sdFRZ vineFRZ burn=40  10.015,2.929,1.873,28.431      0.3,0.3,0.4,0.4            0.1073
sdfit vineFRZ burn=40  10.057,2.95,1.845,28.149       0.291,0.281,0.385,0.201    0.1124
sdFRZ vinefit burn=40  10.035,3.008,1.822,25.35       0.3,0.3,0.4,0.4            0.1142
sdfit vinefit burn=40  10.069,3.043,1.781,24.097      0.279,0.255,0.383,0.267    0.1234
